,index,,Multi_Cell_Image_Id,Multi_Cell_Image_Name,Single_Cell_Image_Id,Single_Cell_Image_Name,TableNumber,ImageNumber,Image_FileName_DAPI,Image_PathName_DAPI,Image_FileName_Tubulin,Image_PathName_Tubulin,Image_FileName_Actin,Image_PathName_Actin,Image_Metadata_Plate_DAPI,Image_Metadata_Well_DAPI,Replicate,Image_Metadata_Compound,Image_Metadata_Concentration,moa
191846,406104,406104,3080,Week7_7__F04_s2_w1C7A8F9CA-F54B-40DE-9EEE-7E71DE6BDDBE,138,Week7_7__F04_s2_w1C7A8F9CA-F54B-40DE-9EEE-7E71DE6BDDBE_138.npy,7,3050,Week7_7__F04_s2_w1C7A8F9CA-F54B-40DE-9EEE-7E71DE6BDDBE.tif,Week7_34661,Week7_7__F04_s2_w2CAF44A0C-1EDB-41CE-8480-91F8954F782F.tif,Week7_34661,Week7_7__F04_s2_w4F9D05EDC-B012-4F3F-B558-5C56387F19CB.tif,Week7_34661,Week7_34661,F04,2,PD-169316,10.0,Kinase inhibitors
2787,5527,5527,525,Week10_200907_C09_s3_w19437640F-29D0-42B8-9C85-DC4701DF4EA3,65,Week10_200907_C09_s3_w19437640F-29D0-42B8-9C85-DC4701DF4EA3_65.npy,0,71,Week10_200907_C09_s3_w19437640F-29D0-42B8-9C85-DC4701DF4EA3.tif,Week10_40111,Week10_200907_C09_s3_w29B6DE609-DB82-47FD-A103-84301D76615A.tif,Week10_40111,Week10_200907_C09_s3_w44DE7F152-E698-48C6-87F2-7D9EAECB371B.tif,Week10_40111,Week10_40111,C09,1,AZ138,0.03,Eg5 inhibitors
159666,309475,309475,2387,Week5_130707_E02_s4_w1CD0139A5-C58F-4E4E-BE44-064D81432B45,28,Week5_130707_E02_s4_w1CD0139A5-C58F-4E4E-BE44-064D81432B45_28.npy,5,3004,Week5_130707_E02_s4_w1CD0139A5-C58F-4E4E-BE44-064D81432B45.tif,Week5_29301,Week5_130707_E02_s4_w208EA0654-74FC-40AB-800F-788FB88C2A4F.tif,Week5_29301,Week5_130707_E02_s4_w495146015-FBA6-406D-BD4F-D0D69C2E4B09.tif,Week5_29301,Week5_29301,E02,1,taxol,0.3,Microtubule stabilizers
153731,292294,292294,2348,Week5_130707_D11_s2_w16C0AA106-F223-4CA3-976B-E37FA488DB89,69,Week5_130707_D11_s2_w16C0AA106-F223-4CA3-976B-E37FA488DB89_69.npy,5,358,Week5_130707_D11_s2_w16C0AA106-F223-4CA3-976B-E37FA488DB89.tif,Week5_28921,Week5_130707_D11_s2_w21FCEC64A-77E4-4257-8E5D-2FF07D425771.tif,Week5_28921,Week5_130707_D11_s2_w46E781881-AAA6-4F65-9D1F-6994BF6D0303.tif,Week5_28921,Week5_28921,D11,2,taxol,0.3,Microtubule stabilizers
169436,343573,343573,2633,Week6_200607_D02_s3_w1906DDD5B-1430-4B86-9F21-7E8A963E6BA1,71,Week6_200607_D02_s3_w1906DDD5B-1430-4B86-9F21-7E8A963E6BA1_71.npy,6,563,Week6_200607_D02_s3_w1906DDD5B-1430-4B86-9F21-7E8A963E6BA1.tif,Week6_31681,Week6_200607_D02_s3_w22C5CFD4E-4B33-49A5-8B0E-D5C9E50B1C20.tif,Week6_31681,Week6_200607_D02_s3_w46DA76CDD-CEE9-4C42-8FC7-6145D4C35604.tif,Week6_31681,Week6_31681,D02,3,DMSO,0.0,DMSO
65475,133917,133917,1462,Week2_180607_F02_s4_w14EBE2925-CBA5-42C4-8853-A78BACC04D3C,846,Week2_180607_F02_s4_w14EBE2925-CBA5-42C4-8853-A78BACC04D3C_846.npy,2,3284,Week2_180607_F02_s4_w14EBE2925-CBA5-42C4-8853-A78BACC04D3C.tif,Week2_24381,Week2_180607_F02_s4_w2D9595B0D-B59E-4199-9AEC-6BC50DB2CD80.tif,Week2_24381,Week2_180607_F02_s4_w4DD8A5083-657A-4C72-B3AB-B8B7245252B2.tif,Week2_24381,Week2_24381,F02,2,taxol,0.3,Microtubule stabilizers
93031,178432,178432,1924,Week3_290607_D11_s1_w16D1A4B30-569E-4754-9D84-49BB42DB9B12,58,Week3_290607_D11_s1_w16D1A4B30-569E-4754-9D84-49BB42DB9B12_58.npy,3,597,Week3_290607_D11_s1_w16D1A4B30-569E-4754-9D84-49BB42DB9B12.tif,Week3_25461,Week3_290607_D11_s1_w2FEE69514-D70B-48F2-A4DF-3DDB523ED1E1.tif,Week3_25461,Week3_290607_D11_s1_w477E1EC9E-13F0-4809-818B-D44F3D04C814.tif,Week3_25461,Week3_25461,D11,3,taxol,0.3,Microtubule stabilizers
69182,142300,142300,1665,Week3_290607_B07_s3_w1DB366E07-57F8-46F5-B6E7-62530EC28FEE,62,Week3_290607_B07_s3_w1DB366E07-57F8-46F5-B6E7-62530EC28FEE_62.npy,3,23,Week3_290607_B07_s3_w1DB366E07-57F8-46F5-B6E7-62530EC28FEE.tif,Week3_25421,Week3_290607_B07_s3_w2E8F522EA-CF7C-4A6F-A46F-DB2697A36D49.tif,Week3_25421,Week3_290607_B07_s3_w4B2160E81-53DD-4FC2-B897-5D7841309EBF.tif,Week3_25421,Week3_25421,B07,1,vincristine,0.1,Microtubule destabilizers
71524,146188,146188,1841,Week3_290607_D03_s2_w188F2502B-7C96-4B69-BF32-07B0ACA72D89,58,Week3_290607_D03_s2_w188F2502B-7C96-4B69-BF32-07B0ACA72D89_58.npy,3,86,Week3_290607_D03_s2_w188F2502B-7C96-4B69-BF32-07B0ACA72D89.tif,Week3_25421,Week3_290607_D03_s2_w24C4A62D8-89BC-4653-A828-41E8AA9B2D72.tif,Week3_25421,Week3_290607_D03_s2_w4BB24C9A0-0D0E-41DE-8EE0-6605AEC984D5.tif,Week3_25421,Week3_25421,D03,1,AZ-C,1.0,Eg5 inhibitors
120162,229315,229315,57,B05_s2_w14E20F3CD-D158-4272-BB23-E445EBB44B81,16,B05_s2_w14E20F3CD-D158-4272-BB23-E445EBB44B81_16.npy,4,254,B05_s2_w14E20F3CD-D158-4272-BB23-E445EBB44B81.tif,Week4_27521,B05_s2_w29D152A1C-46B0-4532-A4AD-0578B4D691A0.tif,Week4_27521,B05_s2_w403165A68-5DD5-4C31-A066-31B4A8CDD5FF.tif,Week4_27521,Week4_27521,B05,2,anisomycin,1.0,Protein synthesis
